"Batch Code","Result File Name","Transaction ID","Consumer Number","Settlement Ref","UTR Number","Result Status","Exception Code","Variance Amount",Remarks,"Business Date","Business Month"
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8001,CN8501,SETT2001,UTR2001,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8002,CN8502,SETT2002,UTR2002,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8003,CN8503,SETT2003,UTR2003,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8004,CN8504,SETT2004,UTR2004,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8005,CN8505,SETT2005,UTR2005,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8006,CN8506,SETT2006,UTR2006,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8007,CN8507,SETT2007,UTR2007,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8008,CN8508,SETT2008,UTR2008,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8009,CN8509,SETT2009,UTR2009,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8010,CN8510,SETT2010,UTR2010,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
